ID,B,C,Value
Williamsport Area SD,Blended,9/1/2020,District Plan
Twin Valley SD,Blended,8/25/2020,District Plan
Tyrone Area SD,Blended,8/25/2020,District Plan
Union SD,In-Person,8/26/2020,District Plan
Union Area SD,Remote,9/8/2020,District Plan
Wissahickon SD,Blended,8/31/2020,District Plan
Woodland Hills SD,Remote,8/24/2020,District Plan
Wyalusing Area SD,In-Person,8/26/2020,District Plan
Wyoming Area SD,Blended,9/8/2020,District Plan
Wyoming Valley West SD,Remote,9/8/2020,District Plan
Wyomissing Area SD,Blended,8/31/2020,District Plan
York City SD,Remote,8/31/2020,District Plan
York Suburban SD,Blended,8/19/2020,District Plan
Wilson Area SD,Blended,8/31/2020,District Plan
Windber Area SD,In-Person,8/26/2020,District Plan
Fairview SD,In-Person,9/1/2020,District Plan
Troy Area SD,In-Person,8/27/2020,District Plan
Sto-Rox SD,Remote,8/27/2020,District Plan
Stroudsburg Area SD,Blended,9/8/2020,District Plan
Sullivan County SD,In-Person,8/20/2020,District Plan
Susquehanna Township SD,In-Person,9/8/2020,District Plan
Susquenita SD,In-Person,8/31/2020,District Plan
Tamaqua Area SD,In-Person,8/26/2020,District Plan
Slippery Rock Area SD,In-Person,8/26/2020,District Plan
Smethport Area SD,In-Person,8/26/2020,District Plan
Solanco SD,In-Person,8/31/2020,District Plan
Somerset Area SD,In-Person,9/1/2020,District Plan
Forest Hills SD,Blended,8/26/2020,District Plan
Souderton Area SD,Blended,9/8/2020,District Plan
Fort Cherry SD,In-Person,8/31/2020,District Plan
South Allegheny SD,Remote,8/24/2020,District Plan
East Penn SD,Blended,8/31/2020,District Plan
Schuylkill Haven Area SD,Blended,8/31/2020,District Plan
Schuylkill Valley SD,Remote,8/27/2020,District Plan
Ferndale Area SD,In-Person,8/31/2020,District Plan
Forbes Road SD,In-Person,9/8/2020,District Plan
Forest Area SD,In-Person,9/1/2020,District Plan
Fleetwood Area SD,Blended,8/31/2020,District Plan
Dubois Area SD,Blended,8/24/2020,District Plan
Dunmore SD,Blended,8/24/2020,District Plan
Duquesne City SD,Remote,8/19/2020,District Plan
Beaver Area SD,Blended,8/31/2020,District Plan
East Allegheny SD,Remote,8/31/2020,District Plan
East Lycoming SD,In-Person,8/26/2020,District Plan
Bedford Area SD,Blended,8/20/2020,District Plan
Belle Vernon Area SD,Blended,8/31/2020,District Plan
East Pennsboro Area SD,Remote,8/24/2020,District Plan
East Stroudsburg Area SD,Blended,8/31/2020,District Plan
Eastern Lancaster County SD,In-Person,8/31/2020,District Plan
Eastern Lebanon County SD,Blended,8/31/2020,District Plan
Eastern York SD,Blended,9/8/2020,District Plan
Easton Area SD,Blended,9/8/2020,District Plan
Jersey Shore Area SD,In-Person,8/27/2020,District Plan
Jim Thorpe Area SD,Blended,9/8/2020,District Plan
Bellefonte Area SD,In-Person,8/25/2020,District Plan
Allegheny Valley SD,Remote,8/24/2020,District Plan
Bellwood-Antis SD,In-Person,8/31/2020,District Plan
Bensalem Township SD,Remote,9/8/2020,District Plan
Antietam SD,Remote,8/26/2020,District Plan
